Ho-Oh,72,57,fuego,85,10
Meowth,82,59,aire,50,79
Pikachu,73,89,aire,66,83
Rattata,80,88,agua,6,94
Bulbasaur,34,28,tierra,89,80
Groundon,23,64,electricidad,57,15
Meowth,68,39,aire,35,40
Slowpoke,63,99,agua,12,61
Meowth,72,40,agua,2,17
Gengar,39,73,tierra,22,80
Wobbuffet,94,80,agua,98,92
Psyduck,63,17,agua,21,51
Jigglypuff,21,40,electricidad,15,5
Jigglypuff,100,41,aire,64,45
Ho-Oh,30,81,agua,68,22
Ditto,68,88,electricidad,69,87
Rayquaza,16,97,tierra,64,97
Slowpoke,75,74,tierra,52,59
Charmander,60,4,electricidad,49,75
Ho-Oh,65,81,fuego,86,17
